Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0116A1,90.1,0.055666667,300.1,1.003055556,330.1,1.027111111,360.1,1.024277778,0.413060664,0.076412233,0.008949506,2,13,1.055046062,5.414132121,-0.027117048,1.023044445,1.035377778,111,1.297666667,1.253944444,2940.1,3540.1,-0.000162641,3570.1,5070.1,-2.87E-05,1.229448802,0.01118773,330.1,2940.1,0.000176912
0116A1,90.1,0.057666667,330.1,1.207111111,360.1,1.220277778,390.1,1.226277778,0.380163245,0.111033847,0.007654633,3,30,1.259979311,5.515953628,-0.026453043,1.226966667,1.240394445,97,1.416444444,1.40437037,3030.1,4410.1,-4.61E-05,6060.1,8010.1,8.55E-06,1.340835017,0.006178624,360.1,3030.1,0.000133543
0201B1,90.1,0.059222222,330.1,0.944444444,360.1,0.971888889,390.1,0.976166667,0.346162503,0.080965093,0.007779786,2,23,1.025483517,4.643734063,-0.021213798,0.979433333,1.005288889,19,1.048166667,1.038055556,630.1,5490.1,-0.000172543,0,0,0,0,0,0,0,0
0201B1,90.1,0.070222222,300.1,0.919444444,330.1,0.960444444,360.1,0.979888889,0.367443544,0.073675642,0.008702413,2,20,1.016788976,4.543358724,-0.022082022,0.967933333,0.993422222,19,1.035166667,1.024055556,600.1,13290.1,-0.000120572,0,0,0,0,0,0,0,0
0201B1,90.1,0.059222222,300.1,0.867444444,330.1,0.928444444,360.1,0.959888889,0.383464946,0.060846691,0.009126052,2,20,1.008503952,4.537849381,-0.020971709,0.938133333,0.975222222,19,1.033166667,1.020388889,630.1,14340.1,-0.000111073,0,0,0,0,0,0,0,0
0201B1,120.1,0.088666667,330.1,0.857444444,360.1,0.923888889,390.1,0.924166667,0.324153195,0.075530486,0.007638281,2,22,0.987119659,4.388306756,-0.019002782,0.918433333,0.954488889,19,0.997166667,0.992388889,630.1,7110.1,-0.000105662,7140.1,10950.1,-2.67E-05,0.589175781,0.015976526,0,0,0
0201F2,90.1,0.06772,300.1,0.9552,330.1,0.9728,360.1,0.98888,0.378077026,0.10077209,0.007883363,2,17,1.007266295,4.726547444,-0.025135232,0.98124,0.996592,16,1.01952,1.01396,510.1,5640.1,-0.000185444,5670.1,14970.1,-8.93E-06,0.463457621,0.012737845,0,0,0
0201F2,60.1,0.04264,300.1,0.9622,330.1,0.9768,360.1,1.02588,0.389553694,0.099591614,0.007979661,2,17,1.009071344,4.579232403,-0.024855857,0.99004,0.993292,13,1.02588,0.996173333,510.1,5610.1,-0.000162419,5640.1,14970.1,-6.27E-06,0.475131923,0.009179079,0,0,0
0201F2,60.1,0.04464,270.1,0.90912,300.1,0.9562,330.1,0.9768,0.43054954,0.073650529,0.00964429,2,17,1.002460799,4.520435659,-0.02479328,0.961768,0.982536,17,1.00988,1.007333333,510.1,5760.1,-0.000156316,5790.1,14970.1,-6.98E-06,0.495878436,0.010118673,0,0,0
0201F2,90.1,0.08072,270.1,0.90012,300.1,0.9502,330.1,0.9618,0.401923619,0.082338078,0.009158132,2,17,0.992431278,4.48938762,-0.024694433,0.953968,0.972036,17,0.99888,0.995,510.1,5610.1,-0.000161256,5640.1,14970.1,-7.43E-06,0.469022949,0.0108836,0,0,0
